"grid","county","park","id","x","y"
176,"Santa Cruz","Big Basin",90,576378.114235183,4117635.84977091
177,"Santa Cruz","Big Basin",91,576906.83046098,4117950.01064469
177,"Santa Cruz","Big Basin",92,576925.319758714,4117798.30924472
178,"Santa Cruz","Big Basin",93,578688.576772809,4118294.32404096
178,"Santa Cruz","Big Basin",94,578783.803385195,4118332.76815397
179,"Santa Cruz","Big Basin",95,579545.13372432,4118183.80424149
179,"Santa Cruz","Big Basin",96,579739.164039605,4117998.34186055
180,"Santa Cruz","Big Basin",97,580432.762134104,4118188.38291708
180,"Santa Cruz","Big Basin",98,579947.657813221,4118334.62510103
187,"Santa Cruz","Big Basin",99,567262.26177163,4117318.56953686
187,"Santa Cruz","Big Basin",100,567411.756252788,4116868.43285361
188,"Santa Cruz","Big Basin",101,568022.069997507,4117002.44436214
188,"Santa Cruz","Big Basin",102,568044.843470076,4117049.22308592
189,"Santa Cruz","Big Basin",103,569877.337748959,4116749.67882217
189,"Santa Cruz","Big Basin",104,569831.6366514,4117514.15691494
190,"Santa Cruz","Big Basin",105,570238.172747921,4117277.56571666
190,"Santa Cruz","Big Basin",106,570872.422296801,4116716.29018547
191,"Santa Cruz","Big Basin",107,571012.150382239,4116743.9105587
191,"Santa Cruz","Big Basin",108,571664.223575829,4116930.56444311
192,"Santa Cruz","Big Basin",109,572660.1802812,4117013.75886054
192,"Santa Cruz","Big Basin",110,572864.839300931,4116886.91666559
193,"Santa Cruz","Big Basin",111,573257.545904286,4116711.19695412
193,"Santa Cruz","Big Basin",112,573782.893321462,4116752.10276196
194,"Santa Cruz","Big Basin",113,574852.760488632,4117586.07558659
194,"Santa Cruz","Big Basin",114,574385.903971017,4117592.9840997
195,"Santa Cruz","Big Basin",115,574959.290092534,4117596.34493744
195,"Santa Cruz","Big Basin",116,575689.036570568,4117601.92576757
196,"Santa Cruz","Big Basin",117,576187.409246978,4117501.8307511
196,"Santa Cruz","Big Basin",118,576484.435022028,4117564.99714371
197,"Santa Cruz","Big Basin",119,577498.108833119,4117556.49540964
197,"Santa Cruz","Big Basin",120,577547.429480644,4117590.06176259
203,"Santa Cruz","Big Basin",121,563283.523231149,4115741.23690021
203,"Santa Cruz","Big Basin",122,563420.342317095,4115642.71157078
204,"Santa Cruz","Big Basin",123,564147.412881988,4115762.46387067
204,"Santa Cruz","Big Basin",124,563927.303183346,4115619.70039867
205,"Santa Cruz","Big Basin",125,565869.057298705,4116129.98705095
205,"Santa Cruz","Big Basin",126,565385.235401696,4115793.86168902
206,"Santa Cruz","Big Basin",127,566039.871710372,4115774.55770436
206,"Santa Cruz","Big Basin",128,565924.731851183,4116110.2973236
207,"Santa Cruz","Big Basin",129,567235.977934311,4115624.17403586
207,"Santa Cruz","Big Basin",130,567423.405166144,4116079.32241668
208,"Santa Cruz","Big Basin",131,568530.004083513,4116038.81861469
208,"Santa Cruz","Big Basin",132,568808.52141967,4116282.23790419
209,"Santa Cruz","Big Basin",133,569803.605967511,4116248.84926702
209,"Santa Cruz","Big Basin",134,569149.239389016,4115654.93655886
210,"Santa Cruz","Big Basin",135,570338.929160916,4116052.94494747
210,"Santa Cruz","Big Basin",136,570118.056381916,4115868.10777235
211,"Santa Cruz","Big Basin",137,571793.775063194,4116182.07199316
211,"Santa Cruz","Big Basin",138,571735.543961287,4116590.6785382
212,"Santa Cruz","Big Basin",139,571990.162413358,4115861.11146189
212,"Santa Cruz","Big Basin",140,572144.546421511,4115712.42282955
213,"Santa Cruz","Big Basin",141,573741.642634032,4116595.61863935
213,"Santa Cruz","Big Basin",142,573723.202199003,4116600.52677561
222,"Santa Cruz","Big Basin",143,562791.222955948,4115136.35034303
222,"Santa Cruz","Big Basin",144,562885.061196721,4115010.6342837
223,"Santa Cruz","Big Basin",145,563795.11558246,4114749.81666538
223,"Santa Cruz","Big Basin",146,563721.643900074,4114888.74824794
224,"Santa Cruz","Big Basin",147,564811.363353834,4114914.5877564
224,"Santa Cruz","Big Basin",148,564477.067791848,4115440.99527682
225,"Santa Cruz","Big Basin",149,565443.832973547,4115040.74452851
225,"Santa Cruz","Big Basin",150,565611.290954446,4114643.53770311
226,"Santa Cruz","Big Basin",151,566261.236329001,4114795.25818076
226,"Santa Cruz","Big Basin",152,566556.34648146,4115462.58245395
227,"Santa Cruz","Big Basin",153,567070.802981962,4115306.97073356
227,"Santa Cruz","Big Basin",154,566954.678785571,4115202.8813614
228,"Santa Cruz","Big Basin",155,568144.54403552,4114888.89518494
228,"Santa Cruz","Big Basin",156,568498.951587306,4115296.5112733
229,"Santa Cruz","Big Basin",157,569770.239232979,4115176.14555869
229,"Santa Cruz","Big Basin",158,569229.576484703,4114780.50646178
230,"Santa Cruz","Big Basin",159,570561.885054818,4115072.56530518
230,"Santa Cruz","Big Basin",160,570127.358855987,4115536.7592616
231,"Santa Cruz","Big Basin",161,570907.725617496,4114718.1024424
231,"Santa Cruz","Big Basin",162,571399.641383069,4115563.72901639
232,"Santa Cruz","Big Basin",163,572011.185987456,4115488.11162052
232,"Santa Cruz","Big Basin",164,572426.704661666,4115303.47617571
241,"Santa Cruz","Big Basin",165,561755.226544712,4113674.15292599
241,"Santa Cruz","Big Basin",166,561551.251575236,4113613.36310364
242,"Santa Cruz","Big Basin",167,561943.592315788,4113633.28380501
242,"Santa Cruz","Big Basin",168,562753.705842179,4114253.27047055
243,"Santa Cruz","Big Basin",169,563308.861198522,4113951.92065757
243,"Santa Cruz","Big Basin",170,563215.714468701,4114399.73609333
244,"Santa Cruz","Big Basin",171,564356.902861412,4113912.3837083
244,"Santa Cruz","Big Basin",172,564155.442206712,4114142.12993626
245,"Santa Cruz","Big Basin",173,564943.034825147,4113615.10432272
245,"Santa Cruz","Big Basin",174,565563.939838683,4114533.14259853
246,"Santa Cruz","Big Basin",175,565941.679603262,4114232.81039375
246,"Santa Cruz","Big Basin",176,565976.036167801,4113935.8088139
247,"Santa Cruz","Big Basin",177,567322.414368946,4114411.12109948
247,"Santa Cruz","Big Basin",178,567033.402066219,4114386.36917691
248,"Santa Cruz","Big Basin",179,568002.053367943,4114438.51860304
248,"Santa Cruz","Big Basin",180,568595.169474656,4113959.2339195
249,"Santa Cruz","Big Basin",181,569343.060354443,4113966.07020599
249,"Santa Cruz","Big Basin",182,569711.393237714,4114531.5342546
250,"Santa Cruz","Big Basin",183,570169.789725749,4114204.70179697
250,"Santa Cruz","Big Basin",184,569934.503262706,4113866.65886106
251,"Santa Cruz","Big Basin",185,571086.833076039,4114336.0483952
251,"Santa Cruz","Big Basin",186,571060.988125525,4114240.02089389
252,"Santa Cruz","Big Basin",187,572169.430213134,4113618.95099527
252,"Santa Cruz","Big Basin",188,572171.356508993,4113624.88170754
261,"Santa Cruz","Big Basin",189,561643.002740861,4113517.7966835
261,"Santa Cruz","Big Basin",190,561036.503221034,4113202.24863283
262,"Santa Cruz","Big Basin",191,562675.12812035,4112937.89817224
262,"Santa Cruz","Big Basin",192,562295.862016679,4112981.84969039
263,"Santa Cruz","Big Basin",193,563839.932544143,4113595.18820511
263,"Santa Cruz","Big Basin",194,563597.561375367,4112916.46598796
264,"Santa Cruz","Big Basin",195,564651.226952456,4113213.80151957
264,"Santa Cruz","Big Basin",196,564048.619543738,4112941.14478313
265,"Santa Cruz","Big Basin",197,565646.311500297,4113180.4128824
265,"Santa Cruz","Big Basin",198,565703.317135527,4113426.36889408
266,"Santa Cruz","Big Basin",199,566779.535336658,4113600.89276523
266,"Santa Cruz","Big Basin",200,566734.69409549,4113163.62288461
267,"Santa Cruz","Big Basin",201,567598.691631276,4113187.2217577
267,"Santa Cruz","Big Basin",202,567688.612471671,4112621.5045958
268,"Santa Cruz","Big Basin",203,568753.359411901,4113107.63282516
268,"Santa Cruz","Big Basin",204,568704.309173287,4113280.53744401
269,"Santa Cruz","Big Basin",205,569105.771627894,4112637.25907465
269,"Santa Cruz","Big Basin",206,569626.649691663,4113046.85833421
270,"Santa Cruz","Big Basin",207,570116.736899337,4112726.28560562
270,"Santa Cruz","Big Basin",208,569929.102619379,4113123.20965777
271,"Santa Cruz","Big Basin",209,571440.420162532,4112891.62256024
271,"Santa Cruz","Big Basin",210,571865.259155014,4113330.67779753
272,"Santa Cruz","Big Basin",211,572278.157104547,4113251.68197128
272,"Santa Cruz","Big Basin",212,572236.537813489,4112619.93010488
281,"Santa Cruz","Big Basin",213,561382.438903613,4112224.05184126
281,"Santa Cruz","Big Basin",214,561638.107496146,4111745.6222198
282,"Santa Cruz","Big Basin",215,561977.15889766,4111912.12152627
282,"Santa Cruz","Big Basin",216,561926.520033642,4111973.28047472
283,"Santa Cruz","Big Basin",217,563834.299157463,4112528.23524778
283,"Santa Cruz","Big Basin",218,563780.549959265,4112528.84477441
284,"Santa Cruz","Big Basin",219,564563.823066416,4112200.96823344
284,"Santa Cruz","Big Basin",220,564529.670816147,4112420.38845921
285,"Santa Cruz","Big Basin",221,564949.120747025,4112151.49186258
285,"Santa Cruz","Big Basin",222,565761.180793861,4111697.82465451
286,"Santa Cruz","Big Basin",223,566685.279121241,4112565.31402777
286,"Santa Cruz","Big Basin",224,566387.792277159,4112185.57916157
287,"Santa Cruz","Big Basin",225,566982.09112206,4111644.26341336
287,"Santa Cruz","Big Basin",226,567874.96889314,4111963.32241592
288,"Santa Cruz","Big Basin",227,568024.769152256,4112240.33518578
288,"Santa Cruz","Big Basin",228,568064.658664574,4112361.33080406
289,"Santa Cruz","Big Basin",229,568905.157340281,4112447.71843732
289,"Santa Cruz","Big Basin",230,569637.045247787,4112062.52730344
290,"Santa Cruz","Big Basin",231,570038.886317724,4112491.16846803
290,"Santa Cruz","Big Basin",232,570444.038208374,4112274.18082261
291,"Santa Cruz","Big Basin",233,571460.809552264,4111661.73499052
291,"Santa Cruz","Big Basin",234,571725.590850792,4111948.07784319
292,"Santa Cruz","Big Basin",235,572799.841852509,4111953.36435665
292,"Santa Cruz","Big Basin",236,572338.667383544,4112586.26936192
301,"Santa Cruz","Big Basin",237,561833.130697133,4111147.78312452
301,"Santa Cruz","Big Basin",238,561500.639517796,4111068.29326555
302,"Santa Cruz","Big Basin",239,562607.739144144,4111488.22932421
302,"Santa Cruz","Big Basin",240,562138.576703379,4111502.44211454
303,"Santa Cruz","Big Basin",241,563459.173294806,4111480.78578603
303,"Santa Cruz","Big Basin",242,563057.108567293,4111504.51492883
304,"Santa Cruz","Big Basin",243,564616.662890085,4111545.3979097
304,"Santa Cruz","Big Basin",244,564868.785587027,4111019.90339729
305,"Santa Cruz","Big Basin",245,565831.996494162,4110934.45968933
305,"Santa Cruz","Big Basin",246,565683.129620918,4111334.51605095
306,"Santa Cruz","Big Basin",247,566331.607542547,4111093.24473077
306,"Santa Cruz","Big Basin",248,566487.781505637,4110640.47530916
307,"Santa Cruz","Big Basin",249,567180.221863679,4111067.86619453
307,"Santa Cruz","Big Basin",250,567183.506012132,4111595.48026211
308,"Santa Cruz","Big Basin",251,567985.004964204,4110940.32333895
308,"Santa Cruz","Big Basin",252,567953.29390739,4110787.33921659
311,"Santa Cruz","Big Basin",253,571886.624185794,4111343.99969055
311,"Santa Cruz","Big Basin",254,571684.814107612,4111378.48196038
312,"Santa Cruz","Big Basin",255,571978.294984625,4111430.56582729
312,"Santa Cruz","Big Basin",256,572574.169475416,4111488.04457858
322,"Santa Cruz","Big Basin",257,562889.831550251,4110149.24118391
322,"Santa Cruz","Big Basin",258,562872.66105749,4110078.51028677
323,"Santa Cruz","Big Basin",259,563294.13657687,4109638.31318586
323,"Santa Cruz","Big Basin",260,563174.861323078,4110068.69181755
324,"Santa Cruz","Big Basin",261,564289.687086974,4110088.03551693
324,"Santa Cruz","Big Basin",262,564142.299578229,4110011.13276619
325,"Santa Cruz","Big Basin",263,565251.220196084,4109946.02285601
325,"Santa Cruz","Big Basin",264,565479.074557837,4110525.48179163
326,"Santa Cruz","Big Basin",265,566043.880193363,4110139.24343409
326,"Santa Cruz","Big Basin",266,566212.753305194,4109804.01019464
327,"Santa Cruz","Big Basin",267,567247.236027665,4109860.55173444
327,"Santa Cruz","Big Basin",268,566949.826205488,4110120.79289417
328,"Santa Cruz","Big Basin",269,567902.670300289,4110573.13404755
328,"Santa Cruz","Big Basin",270,567917.926284793,4110579.53141373
342,"Santa Cruz","Big Basin",271,562584.074517732,4109000.91029998
342,"Santa Cruz","Big Basin",272,562791.214616494,4108705.92876459
343,"Santa Cruz","Big Basin",273,563748.261518893,4109296.0267101
343,"Santa Cruz","Big Basin",274,563687.407413307,4108993.21576404
344,"Santa Cruz","Big Basin",275,564155.319684905,4108914.30599645
344,"Santa Cruz","Big Basin",276,564396.160251433,4108779.54316837
345,"Santa Cruz","Big Basin",277,565878.543919135,4109435.45620909
345,"Santa Cruz","Big Basin",278,565003.356507466,4109281.50562941
346,"Santa Cruz","Big Basin",279,566225.332420169,4109486.02513334
346,"Santa Cruz","Big Basin",280,566484.576382735,4109598.69288299
362,"Santa Cruz","Big Basin",281,562873.027806688,4108420.73601856
362,"Santa Cruz","Big Basin",282,562833.901784697,4108540.12689693
363,"Santa Cruz","Big Basin",283,563434.947059804,4107744.70149037
363,"Santa Cruz","Big Basin",284,563322.726045242,4108244.94936978
364,"Santa Cruz","Big Basin",285,564837.618950419,4108034.73390134
364,"Santa Cruz","Big Basin",286,564170.017565053,4107966.4511719
365,"Santa Cruz","Big Basin",287,565065.817656495,4108441.90109895
365,"Santa Cruz","Big Basin",288,565035.760374173,4108464.99679463
383,"Santa Cruz","Big Basin",289,563849.987226648,4106612.82756976
383,"Santa Cruz","Big Basin",290,563869.673715634,4106991.81837862
384,"Santa Cruz","Big Basin",291,563927.515196692,4106615.13687353
384,"Santa Cruz","Big Basin",292,564329.144223377,4107404.08749743
403,"Santa Cruz","Big Basin",293,563899.111221939,4106310.21298156
403,"Santa Cruz","Big Basin",294,563843.000076909,4106262.15591305
404,"Santa Cruz","Big Basin",295,563989.493133168,4106301.68458045
404,"Santa Cruz","Big Basin",296,564132.687861992,4105983.65656148
